Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User0,15.00,N/A,8.77,AP0,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User1,15.00,N/A,8.27,AP0,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User2,15.00,N/A,2.37,AP0,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User3,15.00,N/A,7.57,AP0,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User4,15.00,N/A,10.33,AP0,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User5,15.00,N/A,0.61,AP2,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User6,15.00,N/A,2.17,AP0,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User7,15.00,N/A,14.61,AP0,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User8,15.00,N/A,12.65,AP1,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User9,15.00,N/A,11.94,AP0,1411.91,1310.78,7.71,1164.88,845.00,2009.88
random,User0,15.00,N/A,11.93,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User1,15.00,N/A,5.12,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User2,15.00,N/A,5.58,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User3,15.00,N/A,1.09,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User4,15.00,N/A,8.24,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User5,15.00,N/A,14.49,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User6,15.00,N/A,2.80,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User7,15.00,N/A,7.74,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User8,15.00,N/A,14.23,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User9,15.00,N/A,9.05,AP0,1294.28,1296.69,-0.19,1039.69,973.44,2013.13
random,User0,15.00,N/A,14.72,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User1,15.00,N/A,2.94,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User2,15.00,N/A,13.02,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User3,15.00,N/A,9.44,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User4,15.00,N/A,1.30,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User5,15.00,N/A,0.92,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User6,15.00,N/A,8.04,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User7,15.00,N/A,5.34,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User8,15.00,N/A,2.96,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User9,15.00,N/A,5.17,AP0,1286.63,1289.22,-0.20,1092.96,828.14,1921.09
random,User0,15.00,N/A,1.05,AP1,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User1,15.00,N/A,5.02,AP0,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User2,15.00,N/A,9.50,AP0,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User3,15.00,N/A,0.90,AP0,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User4,15.00,N/A,5.80,AP1,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User5,15.00,N/A,9.97,AP0,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User6,15.00,N/A,1.09,AP0,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User7,15.00,N/A,3.86,AP0,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User8,15.00,N/A,8.51,AP3,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User9,15.00,N/A,13.49,AP3,1358.79,1332.31,1.99,1072.05,853.56,1925.60
random,User0,15.00,N/A,9.40,AP3,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User1,15.00,N/A,1.09,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User2,15.00,N/A,5.42,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User3,15.00,N/A,6.16,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User4,15.00,N/A,10.06,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User5,15.00,N/A,2.66,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User6,15.00,N/A,7.82,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User7,15.00,N/A,12.56,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User8,15.00,N/A,11.17,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User9,15.00,N/A,12.77,AP0,1306.15,1306.15,0.00,1055.31,946.46,2001.77
random,User0,15.00,N/A,2.70,AP0,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User1,15.00,N/A,5.52,AP1,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User2,15.00,N/A,2.99,AP0,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User3,15.00,N/A,4.72,AP0,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User4,15.00,N/A,4.44,AP3,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User5,15.00,N/A,5.24,AP0,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User6,15.00,N/A,3.83,AP1,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User7,15.00,N/A,0.30,AP0,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User8,15.00,N/A,0.67,AP0,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User9,15.00,N/A,9.49,AP0,1669.47,1495.49,11.63,1104.93,870.87,1975.81
random,User0,15.00,N/A,13.09,AP2,1346.99,1341.40,0.42,1081.48,948.55,2030.03
random,User1,15.00,N/A,1.34,AP0,1346.99,1341.40,0.42,1081.48,948.55,2030.03
random,User2,15.00,N/A,7.00,AP3,1346.99,1341.40,0.42,1081.48,948.55,2030.03
random,User3,15.00,N/A,11.54,AP0,1346.99,1341.40,0.42,1081.48,948.55,2030.03
random,User4,15.00,N/A,6.10,AP3,1346.99,1341.40,0.42,1081.48,948.55,2030.03
random,User5,15.00,N/A,5.93,AP0,1346.99,1341.40,0.42,1081.48,948.55,2030.03
random,User6,15.00,N/A,4.20,AP0,1346.99,1341.40,0.42,1081.48,948.55,2030.03
random,User7,15.00,N/A,4.00,AP0,1346.99,1341.40,0.42,1081.48,948.55,2030.03
