Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate
myargo,User0,15.00,90.00,0.00,AP0,189.36,180.22,5.07
myargo,User1,15.00,90.00,2.70,AP0,189.36,180.22,5.07
myargo,User0,15.00,90.00,5.70,AP0,183.40,161.98,13.23
myargo,User1,15.00,90.00,2.70,AP0,183.40,161.98,13.23
myargo,User0,15.00,90.00,0.00,AP0,183.40,173.43,5.75
myargo,User1,15.00,90.00,5.70,AP0,183.40,173.43,5.75
myargo,User0,15.00,90.00,2.70,AP0,183.40,173.43,5.75
myargo,User1,15.00,90.00,0.00,AP0,183.40,173.43,5.75
myargo,User0,15.00,90.00,0.00,AP0,189.36,180.22,5.07
myargo,User1,15.00,90.00,5.70,AP0,189.36,180.22,5.07
myargo,User0,15.00,90.00,5.70,AP0,189.36,180.22,5.07
myargo,User1,15.00,90.00,0.00,AP0,189.36,180.22,5.07
myargo,User0,15.00,90.00,0.00,AP0,183.40,173.43,5.75
myargo,User1,15.00,90.00,5.70,AP0,183.40,173.43,5.75
myargo,User0,15.00,90.00,2.70,AP0,183.40,161.98,13.23
myargo,User1,15.00,90.00,2.70,AP0,183.40,161.98,13.23
myargo,User0,15.00,90.00,2.70,AP0,183.40,161.98,13.23
myargo,User1,15.00,90.00,2.70,AP0,183.40,161.98,13.23
myargo,User0,15.00,90.00,8.70,AP0,183.40,127.28,44.09
myargo,User1,15.00,90.00,8.70,AP0,183.40,127.28,44.09
myargo,User0,15.00,90.00,0.00,AP0,183.40,183.40,0.00
myargo,User1,15.00,90.00,0.00,AP0,183.40,183.40,0.00
myargo,User0,15.00,90.00,11.70,AP0,183.40,142.05,29.11
myargo,User1,15.00,90.00,0.00,AP0,183.40,142.05,29.11
myargo,User0,15.00,90.00,8.69,AP0,183.40,276.00,-33.55
myargo,User1,15.00,90.00,7.20,AP0,183.40,276.00,-33.55
myargo,User0,15.00,90.00,0.00,AP0,189.36,180.22,5.07
myargo,User1,15.00,90.00,5.70,AP0,189.36,180.22,5.07
myargo,User0,15.00,90.00,0.00,AP0,189.36,189.36,0.00
myargo,User1,15.00,90.00,0.00,AP0,189.36,189.36,0.00
myargo,User0,15.00,90.00,0.00,AP0,183.40,159.90,14.70
myargo,User1,15.00,90.00,5.70,AP0,183.40,159.90,14.70
myargo,User0,15.00,90.00,5.70,AP0,183.40,173.43,5.75
myargo,User1,15.00,90.00,0.00,AP0,183.40,173.43,5.75
myargo,User0,15.00,90.00,8.70,AP0,183.40,159.90,14.70
myargo,User1,15.00,90.00,0.00,AP0,183.40,159.90,14.70
