Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User0,15.00,N/A,2.04,AP1,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User1,15.00,N/A,13.43,AP0,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User2,15.00,N/A,6.07,AP0,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User3,15.00,N/A,11.80,AP2,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User4,15.00,N/A,13.72,AP2,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User5,15.00,N/A,10.73,AP1,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User6,15.00,N/A,3.87,AP2,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User7,15.00,N/A,14.20,AP0,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User8,15.00,N/A,11.27,AP2,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User9,15.00,N/A,9.40,AP0,1819.23,1797.51,1.21,170.95,147.63,318.57
random,User0,15.00,N/A,3.22,AP3,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User1,15.00,N/A,4.13,AP1,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User2,15.00,N/A,2.14,AP0,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User3,15.00,N/A,1.41,AP2,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User4,15.00,N/A,11.21,AP2,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User5,15.00,N/A,5.99,AP1,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User6,15.00,N/A,3.23,AP1,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User7,15.00,N/A,7.04,AP1,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User8,15.00,N/A,14.82,AP2,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User9,15.00,N/A,2.26,AP3,1857.62,1848.46,0.50,175.75,157.97,333.72
random,User0,15.00,N/A,10.49,AP0,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User1,15.00,N/A,6.31,AP0,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User2,15.00,N/A,10.06,AP0,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User3,15.00,N/A,9.76,AP1,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User4,15.00,N/A,7.16,AP3,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User5,15.00,N/A,6.89,AP2,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User6,15.00,N/A,4.41,AP3,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User7,15.00,N/A,7.51,AP3,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User8,15.00,N/A,4.63,AP0,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User9,15.00,N/A,13.99,AP1,1839.79,1830.02,0.53,168.01,152.23,320.24
random,User0,15.00,N/A,5.16,AP3,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User1,15.00,N/A,12.36,AP3,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User2,15.00,N/A,2.20,AP3,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User3,15.00,N/A,0.87,AP0,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User4,15.00,N/A,1.87,AP0,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User5,15.00,N/A,4.61,AP3,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User6,15.00,N/A,9.77,AP3,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User7,15.00,N/A,4.03,AP0,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User8,15.00,N/A,9.49,AP3,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User9,15.00,N/A,6.41,AP1,1877.37,1879.11,-0.09,182.84,142.26,325.10
random,User0,15.00,N/A,2.84,AP1,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User1,15.00,N/A,6.06,AP1,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User2,15.00,N/A,8.76,AP2,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User3,15.00,N/A,12.97,AP0,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User4,15.00,N/A,0.75,AP1,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User5,15.00,N/A,9.05,AP1,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User6,15.00,N/A,9.79,AP0,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User7,15.00,N/A,0.95,AP2,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User8,15.00,N/A,6.79,AP2,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User9,15.00,N/A,3.82,AP0,1815.59,1823.35,-0.43,166.94,140.63,307.57
random,User0,15.00,N/A,2.94,AP0,1832.28,1831.95,0.02,169.85,141.95,311.80
random,User1,15.00,N/A,6.67,AP1,1832.28,1831.95,0.02,169.85,141.95,311.80
